FacilityName,POINT_X,POINT_Y,Region,District,ActivityHP,ValueID,LabelID,FederalID,SNO,RegionID,ZoneID,DistrictID,LocationID,Month,Year,Value,Level,FACILITYTYPE
Bekejo Health Post,0,0,Oromiya,Adaa Woreda,,215651530,367,0,,4,407,40706,407060055,7,2007,10,0,3
Janker Health Post,0,0,Amhara,Lay Armacho Woreda,Amoxicillin,380473559,140,0, ,3,301,30108,3010800308,7,2007,5,0,3
Yegem Health Center,0,0,Amhara,Menz Mama Midir Woreda,"Number of live-born babies with birth weight less than 2,500 g",382072943,19,0,2.1.1,3,305,30509,305090022,7,2007,0,0,2
Seka Nageelee Health Post,0,0,Oromiya,Adaba Woreda,Number of supervisory visits with written feedback received,407297366,3982,0,1.1,4,417,41710,4171000314,7,2007,0,0,3
Amber Health Post,0,0,Amhara,Aneded Woreda,,192755063,303,0,,3,306,30617,3061700300,7,2007,4,0,3
Bika Health Center,0,0,Oromiya,Goro Gutu Woreda,,201515058,1136,0,,4,410,41010,410100024,7,2007,10,0,2
Kurqura Health Center,0,0,Oromiya,Degem Woreda,,201330837,1217,0,,4,406,40605,406050022,7,2007,1,0,2
Koka,0,0,Oromiya,Gimbichu Woreda,,216724243,841,0,,4,407,40705,407050034,7,2007,4,0,3
Gaba,,,Amhara,Chilga Woreda,20-24years : males,380607994,3952,0,4.2.1.11.11,3,301,30112,301120055,7,2007,1,0,3
Meraro Health Center,7.4086572,39.2453435,Oromiya,Limuna Bilbilo Woreda,5-14 years : males,405364392,4009,0,4.2.2.1.1.3,4,408,40818,408180022,7,2007,1,0,2
BEREAGER HEALTH POST,,,Amhara,Basona Werana Woreda,Number of households with any type of latrine facilities (both unimproved and improved),382222777,4486,0,3.1.3,3,305,30519,305190034,7,2007,1,0,3
Lisanu  Primery  Clinic,,,Amhara,Quara Woreda,,192209106,704,0,,3,301,30114,301140058,7,2007,10,0,6
Qurquraa Health Post,0,0,Oromiya,Boke Woreda,,202222106,406,0,,4,409,40910,4091000317,7,2007,4,0,3
Marie Stopes Clinic,,,Oromiya,Goba Town Woreda,,215229669,498,0,,4,411,41120,411200023,7,2007,2,0,4
Dr Tsegay Specialty Clinic,,,Tigray,Shire Enida Silase Town Woreda,Number of units of blood transfused that is from blood bank,239219871,3507,0,5.2.2,1,101,10107,101070028,7,2007,5,0,6
Haluma Health Center,0,0,Oromiya,Dodola Rural Woreda,,362277670,1291,0,,4,417,41713,417130022,7,2007,6,0,2
Marie Stopes Clinic,,,Oromiya,Goba Town Woreda,5b = ABC+ddl-NFV : males,406383253,3775,0,4.2.1.2.2.3,4,411,41120,411200023,7,2007,0,0,4
Zarima Health Center,0,0,Amhara,Adi Arkay Woreda,,191171013,983,0,,3,301,30101,301010022,7,2007,5,0,2
Deder District Hospital,9.325308,41.442034,Oromiya,,,201519022,1177,0,,4,410,0,410110011,7,2007,3,0,1
Mawra Health Post,0,0,Amhara,Lay Armacho Woreda,,192132341,320,0,,3,301,30108,3010800322,7,2007,2,0,3
Akako Health Post,0,0,Oromiya,Adaa Woreda,,215635687,663,0,,4,407,40706,407060046,7,2007,9,0,3
Biraro Medium Clinic,,,Amhara,Kombolcha Town Woreda,                            : females,381847817,3788,0,4.2.1.2.2.16,3,304,30417,304170047,7,2007,1,0,6
Gudeya Bila Health Center,9.276573,37.023544,Oromiya,Gudeya Bila Woreda,,360626230,855,0,,4,402,40207,402070021,7,2007,9,0,2
Hawa Dhangego Health Post,0,0,Oromiya,Kersana Malima Woreda,>=15 years : males,406715789,3203,0,4.2.5.3.1.5,4,413,41307,4130700325,7,2007,10,0,3
Getara Health Center,0,0,Amhara,Dese Zuriya Woreda,,192440351,575,0,,3,304,30409,304090028,7,2007,2,0,2
Beati Akhor Health Center,0,0,Tigray,Klite Awlalo Woreda,,209029208,746,0,,1,103,10306,103060022,7,2007,1,0,2
Dabaso Health Center,0,0,Oromiya,Seyo Nole Woreda,,201026403,863,0,,4,401,40118,401180022,7,2007,8,0,2
Silala Health Post,0,0,Oromiya,Arero Woreda,,215525596,529,0,,4,412,41208,4120800301,7,2007,7,0,3
Maichew Health Center,0,0,Tigray,Maychew Town Woreda,Implants,239602016,3025,0,1.1.1.2.2.3,1,104,10409,104090021,7,2007,9,0,2
Sherkole Health Center,10.598923,34.779535,Beneshangul Gumuz,Sherkole Woreda,Number of children under one year of age who have received first dose of Polio vaccine,369414977,3056,0,1.3.9.2,6,603,60304,603040021,7,2007,1,0,2
Setema Health Post,,,Oromiya,Setema Woreda,MDR  TB cases age:   >=15years                 Males,404211179,4146,0,4.2.2.13.2.3,4,404,40413,404130030,7,2007,7,0,3
Muk-Lami 01 Health Post,0,0,Oromiya,Boji Cheqorsa Woreda,OPD visits < 5: new Male,403206691,164,0,1.1.1,4,401,40110,4011000322,7,2007,8,0,3
Bedele Health Center,8.453917,36.357743,Oromiya,Bedele Town Woreda,,201163129,1071,0,,4,403,40321,403210021,7,2007,10,0,2
Finkile Health Center,9.461999,42.032931,Oromiya,Haromaya Woreda,,201478666,938,0,,4,410,41006,410060021,7,2007,5,0,2
Siwaya Medium Cilnic,,,Oromiya,,,202836353,640,0,,4,430,0,430000035,7,2007,6,0,6
Iluu Harar Health Center,0,0,Oromiya,Chewaqa Woreda,,224001657,1590,0,,4,403,40323,403230022,7,2007,6,0,2
Argamit Kembata Health Post,0,0,Amhara,Enarj Enawga Woreda, Age: 25-59 Months,382430430,3063,0,2.2.3.2,3,306,30605,3060500301,7,2007,7,0,3
K_Dansa Health Post,0,0,Oromiya,Meda Welabu Woreda,Measles doses given (all ages),406279753,31,0,1.3.10.6(Given),4,411,41113,4111300313,7,2007,6,0,3
Digotsion Health Center,10.841111,37.737312,Amhara,Bibugn Woreda,,191731073,1810,0,,3,306,30601,306010021,7,2007,0,0,2
Embamadre Health Center,0,0,Tigray,Tselemt Woreda,,207857902,2396,0,,1,101,10106,101060028,7,2007,5,0,2
Chala Health Center,0,0,Oromiya,Meyu Muleke Woreda,,201557945,1220,0,,4,410,41018,410180023,7,2007,0,0,2
Gobele Qirixe Health Post,,,Oromiya,Haromaya Woreda,,216886732,576,0,,4,410,41006,410060042,7,2007,4,0,3
D_Dabobesaa Health Center,0,0,Oromiya,Abaya Woreda,,361064426,924,0,,4,412,41213,412130025,7,2007,7,0,2
Abdela Melstenga Clinic,,,Amhara,Kemise Town Woreda,1e =  TDF-3TC-EFV                         : male,383417348,3729,0,4.2.1.5.1.1.13,3,310,31006,310060022,7,2007,6,0,6
Kamate Health Center,0,0,Oromiya,Kersana Malima Woreda,                                                                     : Female,406698306,4443,0,4.2.2.12.1.9,4,413,41307,413070021,7,2007,6,0,2
Sanq Health Center,0,0,Amhara,Adi Arkay Woreda,,191173542,933,0,,3,301,30101,301010024,7,2007,5,0,2
Migir Health Post,0,0,Oromiya,Amuru Woreda,,202768578,557,0,,4,419,41909,4190900315,7,2007,4,0,3
Dayole Health Post,0,0,Oromiya,Abichuna Gnea Woreda,,203350489,369,0,,4,406,40609,4060900307,7,2007,8,0,3
Into Dale,,,Oromiya,Jeldu Woreda,,216520502,383,0,,4,405,40502,405020034,7,2007,9,0,3
Zana Health Center,0,0,Tigray,Medebay Zana Woreda,Number of children under one year of age who have received 2nd  dose of Rotavirus  vaccine,239085764,3005,0,1.3.6.1,1,101,10103,101030022,7,2007,2,0,2
World Family Health Clinic,0,0,Oromiya,Fentale Woreda,,362158641,1062,0,,4,407,40701,407010047,7,2007,1,0,4
Didimtu,0,0,Oromiya,Adama Woreda,Number of children under one year of age who have received BCG vaccine,404899996,3000,0,1.3.0,4,407,40703,407030141,7,2007,1,0,3
Karamara Higher Clinic,,,Addis Ababa,Bole Kifle Ketema,,414320405,658,0,,14,0,14110,141100052,7,2007,1,0,6
Erensa Health Post,0,0,Amhara,Dawa Chefa Woreda,,268447886,305,0,,3,310,31001,3100100315,8,2007,10,0,3
Tikule Health Center,0,0,Tigray,Medebay Zana Woreda,Zinc,286635142,3210,0, ,1,101,10103,101030021,8,2007,10,0,2
Gata Health Center,0,0,Oromiya,Sigmo Woreda,,364761593,662,0,,4,404,40412,404120022,8,2007,2,0,2
Kote Gennasi Health Post,0,0,Oromiya,Nedjo Rural Woreda,Number of children received all vaccine doses before 1st birthday,408265223,26,0,1.3.8.1,4,401,40121,4012100332,8,2007,9,0,3
Dera Health Center,8.326253,39.332541,Oromiya,Dodota Woreda,1-4 years : males,409994653,3912,0,4.2.1.9.1.2.3,4,408,40805,408050021,8,2007,10,0,2
Nibazla Health Center,0,0,Amhara,Simada Woreda,,267106774,1308,0,,3,302,30207,302070027,8,2007,0,0,2
Rayitu Anole Health Center,6.895606,41.131019,Oromiya,Gura Damole Woreda,,273218796,882,0,,4,411,41115,411150021,8,2007,10,0,2
Beteyohans Health Center,0,0,Tigray,Adwa Woreda,,285407868,715,0,,1,102,10204,102040026,8,2007,5,0,2
B_Qurbi Health Post,0,0,Oromiya,Ambo Woreda,,365284555,848,0,,4,405,40503,4050300302,8,2007,7,0,3
K_Jenno Health Post,0,0,Oromiya,Adaa Berga Woreda,Number Maternal deaths at health post,409378375,3042,0,1.1.11.3,4,405,40513,4051300319,8,2007,3,0,3
Tena Health Center,0,0,Amhara,Wadla Woreda,,266810871,1187,0,,3,303,30305,303050023,8,2007,6,0,2
Surta Health Center,0,0,Amhara,Banja Shekudad Woreda,,268397050,837,0,,3,309,30902,309020024,8,2007,8,0,2
Mariam Merio Health Center,0,0,Tigray,Seharti Samre Woreda,OTHER                                : males,287198300,4432,0,4.2.1.3.1.15,1,107,10701,107010023,8,2007,4,0,2
Hawdel Health Post,0,0,Oromiya,Gursum Woreda,,362857187,690,0,,4,410,41003,4100300304,8,2007,0,0,3
Kirstossemra,,,Amhara,Minjar Woreda,                  : females Pregnant,389021340,3711,0,4.2.1.4.1.17,3,305,30518,305180030,8,2007,2,0,2
Arjo Health Post,0,0,Oromiya,Shala Woreda,Number of children under one year of age who have received 2nd  dose of Rotavirus  vaccine,411989988,3005,0,1.3.6.1,4,417,41702,4170200319,8,2007,0,0,3
Suha Tefeses Health Post,0,0,Amhara,Shebel Berenta Woreda,,268338473,841,0,,3,306,30614,3061400313,8,2007,9,0,3
Zalambesa Health Center,0,0,Tigray,Gulo Meheda Woreda,,285511944,545,0,,1,103,10301,103010024,8,2007,1,0,2
Homba Health Post,0,0,Oromiya,Merti Woreda,,362922390,575,0,,4,408,40801,4080100305,8,2007,0,0,3
Dembo Health Center,0,0,Oromiya,Becho Woreda,Polio doses opened,408649219,1647,0,1.3.10.5(Opened),4,403,40314,403140023,8,2007,5,0,2
Bilida Health Post,0,0,Oromiya,Mana Woreda,OPD visits < 5: new Male,408905684,164,0,1.1.1,4,404,40406,4040600305,8,2007,6,0,3
Seroqa Health Center,0,0,Amhara,Tegede Woreda,,267021717,987,0,,3,301,30107,301070023,8,2007,5,0,2
Tedat Health Post,0,0,Amhara,Tenta Woreda,,267973452,351,0,,3,304,30402,3040200307,8,2007,4,0,3
Ejere Health Center,9.208475,38.387616,Oromiya,Hidabu Abote Woreda,,348324778,1590,0,,4,406,40603,406030021,8,2007,8,0,2
Sombo Yabeta Health Post,0,0,Oromiya,Woliso Rural Woreda,,363448257,366,0,,4,413,41303,4130300310,8,2007,0,0,3
United Medium Clinic,,,Amhara,Debere Markos Town Woreda,5-9 years : males,389481706,3643,0,4.2.1.1.2.1.5,3,306,30615,306150038,8,2007,8,0,6
Ras Desta Hospital,9.04,38.74,Addis Ababa,,,414675868,393,0,,14,0,0,141070011,8,2007,5,0,1
Koso Amba Health Post,0,0,Amhara,Gubalafto Woreda,,267916172,289,0,,3,303,30307,3030700328,8,2007,6,0,3
Bedele Poly Medium Clinic,,,Oromiya,Bedele Town Woreda,,347667180,1397,0,,4,403,40321,403210025,8,2007,8,0,6
Bedele Poly Medium Clinic,,,Oromiya,Bedele Town Woreda,,363961635,659,0,,4,403,40321,403210025,8,2007,9,0,6
Korniguch Health Center,0,0,Gambella,Lare Woreda,,393790545,482,0,,12,1202,120201,1202010023,8,2007,8,0,2
Gulele Health Center,9.01,38.74,Addis Ababa,Arada Kifle Ketema,,413508600,1398,0,,14,0,14107,141070022,8,2007,1,0,2
Kot Mender Health Center,11.652907,38.501056,Amhara,Tach Gayint Woreda,,267097744,1365,0,,3,302,30206,302060024,8,2007,8,0,2
Tsilielo Health Center,0,0,Tigray,Welkayit Woreda,Number of adults and children with HIV infection newly started on ART,287147193,4503,0,C1.4.2.1.6,1,105,10502,105020027,8,2007,6,0,2
Lalo Koyi,,,Oromiya,Yemalogi Welel Woreda,,363110201,348,0,,4,418,41802,418020025,8,2007,9,0,3
Ayata Health Center,0,0,Amhara,Dese Zuriya Woreda,Pentavalent DPT-Hep-Hib Vaccine,388456617,150,0, ,3,304,30409,304090023,8,2007,7,0,2
baya gundii Health Center,5.434014,38.47449,Oromiya,Malka Soda Woreda,20-24 years : males,411492879,3649,0,4.2.1.1.2.1.11,4,412,41222,412220022,8,2007,9,0,2
SELAM MIDIUM,,,Amhara,,,267599662,1561,0,,3,313,0,313000039,8,2007,5,0,6
Alexuxa Health Center,,,Oromiya,Shakiso Woreda,,273067370,1348,0,,4,414,41405,414050025,8,2007,10,0,2
Soda Health Center,6.8632743,37.7624975,Oromiya,Dire Woreda,,349323847,995,0,,4,412,41211,412110023,8,2007,3,0,2
Kaneni Jeneta,,,Oromiya,Chewaqa Woreda,,366901715,318,0,,4,403,40323,403230026,8,2007,4,0,3
Satamidiraro Health Center,0,0,Amhara,Lay Armacho Woreda,10-14 years : males,387184430,3874,0,4.2.1.6.7,3,301,30108,301080024,8,2007,7,0,2
Dire Hospital,,,Somali,Jijiga Woreda,Total Number of children screened for malnutrition,415878964,3064,0,2.3.1,5,502,50204,502040043,8,2007,3,0,7
Haileselassie Negash Primary Clinic,,,Amhara,Mirab Armachiho Woreda,,268575262,572,0,,3,301,30106,301060042,8,2007,4,0,6
Edaga Hamus Health Center,0,0,Tigray,Saesi Tsadamba Woreda,,285536228,328,0,,1,103,10303,103030023,8,2007,4,0,2
Obora Health Center,0,0,Oromiya,Sinana Woreda,,363662114,321,0,,4,411,41109,411090021,8,2007,6,0,2
Bole Clinic,,,Oromiya,Boset Woreda,,366846661,491,0,,4,407,40702,407020083,8,2007,5,0,6
Dildey Health Center,0,0,Amhara,Gidan Woreda,Measles doses given (all ages),388040470,31,0,1.3.10.6(Given),3,303,30303,303030025,8,2007,0,0,2
Dhaye Gomi Health Post,0,0,Oromiya,Dale Wabera Woreda,Number of slides or RDT positive for malaria,412340740,4531,0,4.2.5.3.1,4,418,41803,4180300315,8,2007,10,0,3
Goliya Health Center,0,0,Oromiya,Mesela Woreda,,272734797,1000,0,,4,409,40904,409040025,8,2007,9,0,2
Ambaye Health Post,,,Amhara,Delanta Woreda,,268119723,357,0,,3,304,30422,304220058,8,2007,5,0,3
Dhahe Wilincho Health Post,,,Oromiya,Kuyu Woreda,,364640816,643,0,,4,406,40604,406040031,8,2007,4,0,3
Marie  Primery Clinic,,,Amhara,Quara Woreda,OPD visits >= 15: repeat Female,387414963,175,0,1.1.12,3,301,30114,301140041,8,2007,7,0,6
Etang Health Center,8.191786,34.281759,Gambella,,OPD visits >= 15: repeat Male,416215811,174,0,1.1.11,12,1204,0,1204000022,8,2007,9,0,2
Bsebe Medium Clinic,,,Amhara,Raya Kobo Woreda,,266783157,863,0,,3,303,30302,303020031,8,2007,1,0,6
Semema Health Center,0,0,Tigray,Nader Adet Woreda,15-19 years : males,286824096,3612,0,4.2.1.1.1.1.1,1,102,10207,102070023,8,2007,6,0,2
Somboo Health Center,0,0,Oromiya,Yayo Woreda,,362710837,500,0,,4,403,40309,403090022,8,2007,1,0,2
shimila albeta Health Post,0,0,Amhara,Sekota Woreda,Number of children under one year of age who have received 2nd  dose of Rotavirus  vaccine,389942724,3005,0,1.3.6.1,3,308,30802,3080200326,8,2007,8,0,3
Darian Health Center,0,0,Oromiya,Wonchi Woreda,Number of women tested positive for HIV,411527259,3502,0,1.2.1.4,4,413,41302,413020023,8,2007,4,0,2
Kekorma Health Post,0,0,Amhara,Minjar Woreda,,268207629,403,0,,3,305,30518,3051800307,8,2007,7,0,3
Soka Health Center,9.170103,41.440882,Oromiya,Deder Woreda,,273604161,1558,0,,4,410,41011,410110021,8,2007,5,0,2
Arabay Health Post,0,0,Tigray,Degua Temben Woreda,,285876385,383,0,,1,107,10704,1070400316,8,2007,5,0,3
Robe Health Center,,,Oromiya,Sigmo Woreda,,366543179,380,0,,4,404,40412,404120025,8,2007,10,0,2
Dayole Health Center,0,0,Oromiya,Abichuna Gnea Woreda,Second Line Regimen,409629233,4498,0,4.2.1.2.2,4,406,40609,406090022,8,2007,7,0,2
Dibo Health Center,0,0,Amhara,Enebse Sar Midir Woreda,,267330755,1397,0,,3,306,30604,306040023,8,2007,0,0,2
Adwa Hospital,14.195561,38.883662,Tigray,,,284460896,978,0,,1,0,0,10004,8,2007,7,0,1
Arsi Negele Health Center,9.3294,41.4461,Oromiya,Arsi Negelle Town Woreda,,347709571,1167,0,,4,417,41790,417030021,8,2007,5,0,2
Siiqqee Bokoossaa Health Post,0,0,Oromiya,Hambela Wemena Woreda,,363006334,381,0,,4,414,41409,4140900325,8,2007,6,0,3
Legot Health Center,0,0,Amhara,Kutaber Woreda,                                 : females non pregnant,388336342,4564,0,4.2.1.9.2.8,3,304,30403,304030024,8,2007,3,0,2
Ch_Birate Health Post,0,0,Oromiya,Adaa Berga Woreda,New acceptors by age,409375466,3,0,1.1.1.1.1,4,405,40513,4051300311,8,2007,0,0,3
Betelihem Primary Clinic,,,Amhara,,,267649065,1432,0,,3,314,0,314000039,8,2007,0,0,6
Hako Health Center,0,0,Oromiya,Adaba Woreda,,272818979,1383,0,,4,417,41710,417100025,8,2007,2,0,2
Shimal Tokke Health Center,0,0,Oromiya,Babo Gambel Woreda,,347600349,1601,0,,4,401,40111,401110022,8,2007,5,0,2
Baredalencha Health Center,0,0,Oromiya,Gole Oda Woreda,,363118083,433,0,,4,410,41017,410170023,8,2007,1,0,2
Dessie Maremia Betoch Primary Clinic,,,Amhara,,Total number of children who exit from severe acute malnutrition treatment,390456274,4423,0,2.4.5,3,314,0,314000050,8,2007,2,0,4
Hallo Madhadha Health Post,0,0,Oromiya,Malka Soda Woreda,25 -49 years,411498207,3013,0,1.1.1.1.1.4,4,412,41222,4122200310,8,2007,10,0,3
Wefit Health Center,0,0,Amhara,Enarj Enawga Woreda,,268270771,394,0,,3,306,30605,306050027,8,2007,3,0,2
Ugaz Health Center,0,0,Oromiya,Haromaya Woreda,,273566227,1195,0,,4,410,41006,410060024,8,2007,3,0,2
Bishan Guracha Health Center,0,0,Oromiya,Bishan Guracha Town Woreda,,363573534,823,0,,4,417,41791,417120025,8,2007,0,0,2
Wefit Health Center,0,0,Amhara,Enarj Enawga Woreda,Number of discharges,389246725,180,0,4.1,3,306,30605,306050027,8,2007,1,0,2
Ambaro 2nd Health Post,0,0,Oromiya,Chinaksen Woreda,Total number of live births in the kebele,410896602,3500,0,1.3.12.2,4,410,41015,4101500316,8,2007,1,0,3
Gono Health Center,0,0,Amhara,Mirab Esta Woreda,,266761071,1632,0,,3,302,30211,302110023,8,2007,0,0,2
Bared Health Center,8.825243,40.782036,Oromiya,Dawe Serer Woreda,,273256459,1208,0,,4,411,41123,411230021,8,2007,3,0,2
Shanen Health Center,0,0,Oromiya,Jibat Woreda,,347711657,1353,0,,4,405,40518,405180021,8,2007,8,0,2
Bati Kelo,,,Oromiya,Adama Woreda,,366702732,433,0,,4,407,40703,407030175,8,2007,1,0,3
Asfaw Takele Primariy Clinic,,,Amhara,Tach Armacho Woreda,Amoxicillin,387587174,140,0, ,3,301,30120,301200054,8,2007,10,0,6
Shiromeda Health Center,9.05,38.75,Addis Ababa,Gulele Kifle Ketema,                  : females,415542826,3875,0,4.2.1.6.8,14,0,14104,141040022,8,2007,8,0,2
Galle Health Center,0,0,Oromiya,Limu Kosa Woreda,,275789197,1313,0,,4,404,40402,404020022,9,2007,2,0,2
Lakole Health Post,0,0,Oromiya,Babile Woreda,,276824127,838,0,,4,410,41004,4100400314,9,2007,1,0,3
Beta Health Center,0,0,Amhara,Borena Woreda,,270450762,872,0,,3,304,30421,304210025,9,2007,9,0,2
Legedini Health Post,,,Dire Dawa,Dire Dawa Operational Woreda Health Office,OPD visits < 5: repeat Male,367081249,166,0,1.1.3,15,0,150101,1501010300,9,2007,5,0,3
Keymebrat Health Post,0,0,Amhara,Legambo Woreda,< 5 years : males,388488003,3199,0,4.2.5.3.1.1,3,304,30410,3041000301,9,2007,8,0,3
Micha Health Center,0,0,Oromiya,Seweyna Woreda,4f=AZT + 3TC + LPV/r: males,411208519,3842,0,4.2.1.4.1.11,4,411,41118,411180021,9,2007,0,0,2
Birka Health Center,0,0,Oromiya,Nunu Qumba Woreda,,348132919,1283,0,,4,402,40215,402150023,9,2007,3,0,2
G_Gado Health Center,0,0,Oromiya,Shirka Woreda,,277111172,558,0,,4,408,40814,408140024,9,2007,4,0,2
Rahya Health Center,0,0,Tigray,Adwa Woreda,,284742679,855,0,,1,102,10204,102040025,9,2007,0,0,2
Jibasra Health Center,0,0,Amhara,Misrak Este Woreda,,270154828,1065,0,,3,302,30208,302080025,9,2007,5,0,2
Dara Sidan Health Post,,,Oromiya,Boricha Woreda,,363706318,734,0,,4,403,40307,403070033,9,2007,5,0,3
Tirunesh Beijing Hospital,8.87,38.78,Addis Ababa,,"Total new and repeat acceptors, disaggregated by method",415443528,4472,0,1.1.1.2,14,0,0,141010011,9,2007,10,0,1
Melka Amana Health Center,0,0,Oromiya,Delo Mena Woreda,,350017204,1566,0,,4,411,41112,411120021,9,2007,2,0,2
Hewo Hospital,13.478,39.545,Tigray,,                  : females,286595717,3902,0,4.2.1.9.1.1.6,1,0,0,10013,9,2007,10,0,1
Xile mado Health Post,0,0,Oromiya,Moyale Woreda,,277299693,673,0,,4,412,41210,4121000306,9,2007,5,0,3
Midre Bara Heath Post,,,Amhara,Chilga Woreda,,270691031,531,0,,3,301,30112,301120057,9,2007,4,0,3
GololeHuluqo,0,0,Oromiya,Liben Woreda,,366757985,403,0,,4,407,40711,407110039,9,2007,5,0,3
03 Kebele Health Center,0,0,Amhara,Kombolcha Town Woreda,First Line Regimen,388622232,3716,0,4.2.1.5.1.1,3,304,30417,304170021,9,2007,5,0,2
Woreda 5 Health Center,0,0,Addis Ababa,Kolfe Keraniyo Kefle Ketema,,414492390,703,0,,14,0,14103,141030067,9,2007,7,0,2
Biftu Huluko,,,Oromiya,Gedeb Asasa Woreda,,348176679,996,0,,4,417,41706,417060048,9,2007,6,0,6
Belbela Health Post,0,0,Oromiya,Wonchi Woreda,,276733076,409,0,,4,413,41302,4130200303,9,2007,8,0,3
STADIUM MIDIUM,,,Amhara,,,271655240,690,0,,3,313,0,313000040,9,2007,9,0,6
Kabe Health Center,0,0,Amhara,Were Ilu Woreda,,270423917,1325,0,,3,304,30415,304150022,9,2007,8,0,2
Oda Bokota,0,0,Oromiya,Dugda Woreda,,366790525,741,0,,4,407,40707,407070035,9,2007,3,0,3
Mesal Health Post,0,0,Amhara,Tehuledere Woreda,OPD visits >= 15: repeat Female,388384547,175,0,1.1.12,3,304,30405,3040500308,9,2007,10,0,3
Teji Health Center,8.849408,38.372535,Oromiya,Ilu Woreda,Number of inpatient deaths in the reporting period,411574731,4569,0,4.1.3.1,4,413,41305,413050021,9,2007,3,0,2
Jangir Health Center,0,0,Oromiya,Gida Ayana Woreda,,348256967,983,0,,4,402,40219,402190023,9,2007,8,0,2
Ch_Kuyo Health Center,0,0,Oromiya,Aseko Woreda,,276837427,807,0,,4,408,40802,408020023,9,2007,8,0,2
Tessfahune  Primery Clinic,,,Amhara,Quara Woreda,,270720537,307,0,,3,301,30114,301140043,9,2007,2,0,6
cilan Health Post,0,0,Somali,Gode Woreda,,367861944,846,0,,5,507,50704,5070400310,9,2007,5,0,3
Gnb biete saida Health Post,0,0,Amhara,Dembecha Woreda,Number of maternal deaths on the way to health facility,389755042,3041,0,1.1.11.2,3,307,30708,3070800319,9,2007,4,0,3
Burka Bereka,,,Oromiya,Deder Woreda,BCG doses opened,410824811,1645,0,1.3.10.1(Opened),4,410,41011,410110033,9,2007,5,0,3
Mashalah Lower Clinic_Adihirdi,,,Tigray,Kafta Humera Woreda,4b = d4T-3TC-EFV : males,287136391,3760,0,4.2.1.2.1.3,1,105,10501,105010052,9,2007,0,0,6
Girana Health Center,11.5698,39.7209,Amhara,Habru Woreda,,270277096,1379,0,,3,303,30308,303080022,9,2007,7,0,2
Kombolcha Chancho Health Post,0,0,Oromiya,Horo Woreda,,276766092,507,0,,4,419,41901,4190100304,9,2007,8,0,3
Megale 35 Health Post,,,Beneshangul Gumuz,Assosa Woreda,,370034137,299,0,,6,603,60303,603030082,9,2007,6,0,3
Lagdeya Health Center,0,0,Amhara,Semen Achefer Woreda,"Repeat acceptors, by method",389537766,4474,0,1.1.1.2.2,3,307,30701,307010027,9,2007,0,0,2
Dirqi Chabal Health Post,0,0,Oromiya,Gawo Kebe Woreda,OPD visits 5-14: repeat Male,412361733,170,0,1.1.7,4,418,41804,4180400328,9,2007,6,0,3
Enchini Health Center,9.314095,38.375997,Oromiya,Adaa Berga Woreda,,276052328,2402,0,,4,405,40513,405130021,9,2007,6,0,2
Gola Health Post,0,0,Amhara,Asagirt Woreda,,271205695,542,0,,3,305,30514,3051400306,9,2007,1,0,3
Azezo Health Center,12.55475,37.42564,Amhara,,,269916172,1242,0,,3,313,0,313000022,9,2007,6,0,2
Dhahe Wilincho Health Post,,,Oromiya,Kuyu Woreda,,364636745,378,0,,4,406,40604,406040031,9,2007,10,0,3
Doctor Suwalih Medium Clinin,,,Amhara,Kemise Town Woreda, Age: 0-24 Months,390252479,3062,0,2.2.3.1,3,310,31006,310060026,9,2007,7,0,6
Gu_Chisa Health Center,0,0,Oromiya,Sude Woreda,                            : females,410058311,3843,0,4.2.1.4.1.12,4,408,40808,408080023,9,2007,0,0,2
Mekhan Health Post,0,0,Tigray,Endamehoni Woreda,,285658603,309,0,,1,104,10405,1040500305,9,2007,8,0,3
Bekele H_Mariam Primary Clinic,,,Oromiya,Chelia Woreda,,275972151,865,0,,4,405,40505,405050037,9,2007,8,0,6
Angachat Health Post,,,Amhara,Misrak Este Woreda,,270864644,811,0,,3,302,30208,302080038,9,2007,10,0,3
B_Illamu Health Post,0,0,Oromiya,Chelia Woreda,,365294237,356,0,,4,405,40505,4050500317,9,2007,0,0,3
Gatira Health Post,0,0,Oromiya,Setema Woreda,,363743768,495,0,,4,404,40413,4041300300,9,2007,4,0,3
Lilona Special Midium Dental Clinic,,,Addis Ababa,Cherkos Kifle Ketema,,414648740,778,0,,14,0,14106,141060060,9,2007,7,0,6
HofiBuluk,,,Oromiya,Arena Buluq Woreda,,349988759,869,0,,4,411,41111,411110036,9,2007,2,0,6
Goromutti Health Center,0,0,Oromiya,Meta Woreda,,276883389,400,0,,4,410,41009,410090027,9,2007,10,0,2
Nebelet Health Center,14.1029825,39.2713125,Tigray,Wereilehi Woreda,IUCD,286755148,3021,0,1.1.1.2.1.4,1,102,10203,102030022,9,2007,7,0,2
Bilal Primary Clinic,,,Amhara,Kombolcha Town Woreda,,271105793,677,0,,3,304,30417,304170041,9,2007,7,0,6
Kobilla Warra Bilo Health Post,0,0,Oromiya,Seyo Nole Woreda,,364479543,848,0,,4,401,40118,4011800305,9,2007,3,0,3
Yehereqa tsyon Health Post,0,0,Amhara,Dembecha Woreda,Oral Rehydration Salt,389753375,141,0, ,3,307,30708,3070800313,9,2007,7,0,3
